,cons,pros
332,- Tools and processes are being created and re-created as the company is still relatively new\r\n- Processes are not very established and are still being introduced\r\n- Pretty involved and lengthy performance review process - could be streamlined,- Smart and qualified engineers\r\n- New management is fixing a lot of the legacy cultural and organizational issues\r\n- Engineering-driven culture - technologies are streamlined across the organization\r\n- Fast-paced environment where decisions are made quickly and allows to move fast\r\n- Focus on getting things done and allows for innovative solutions
333,Not a good place to “rest and vest”,Incredibly smart people who believe in the mission of the company
334,- Long shifts\r\n\r\n - No clear HR representative to address HR concerns with \r\n\r\n- No clear reasoning behind performance improvement plans for employees. Sometimes no prior warning given. \r\n\r\n- Management are sometimes disrespectful to employees and treat them like children\r\n\r\n- Progression can be difficult if you're not in with the right people.,-Free food\r\n-Great pay\r\n-Amazing people\r\n-Young vibrant atmosphere \r\n-Great work parties\r\n-Day to day work is easy
335,"- Hard to give feedback,\n- Long hours and shifts are just terrible.","Free food, health insurance, discounts and many other perks."
336,Work in shifts is so bad as you can’t live as a normal person w don’t have fixed vacations,Cool working environment and very helpful
337,"- Working hours was longer at its nascent stage, but work life balance has become better so I don't think it's a problem anymore (was a cons but not anymore)\r\n- A big proportion and a certain titles of positions are contractors (FTC) who are entitled with less pay and no Uber perks. There isn't a really clear way to transfer them to full time (and it's impossible to transfer all due to budget constraint) - and this can be of a managerial problem as it's hard to keep them motivated and especially keeping good talents \r\n- Engineering resources for a lot of times are prioritized for major markets (e,g, US, ANZ, India); sometimes it's hard to get one single tech issue resolved","- Definitely a place to be if you like ownership, are proactive, hustled and love challenges. KPI is set clearly and you'll have autonomy to own it and manage to reach it. Can definitely learn a lot.\r\n- Data accessibility: Every full time employee has the authority to access any business related data, which in many companies are restricted to only certain people/departments. Decisions are made always based on data as well. \r\n- Global network &amp; knowledge sharing, work with smart people : You can easily reach out to and work with any colleague within the company in the world and learn from them - and working with some of the smartest people is definitely a plus of working for Uber. \r\n- Flexible working hours: as long as you get things done\r\n- Good working environment: free drinks/snacks and lunch at times; alleviated desks and great office location\r\n- Better structure and better senior management: as the company grows larger, some of the problems on the org being unstructured early on as been eased through time.\r\n- Company perks are not the best compared with traditional industries but still very good: gym reimbursement, phone plan and Uber credit \r\n- Competitive salary \r\n- Year end bonus based on performance"
338,seems no limits for benefit budget which creating certain level of waste,- open environment\r\n- flat culture\r\n- a lot of talents with interesting background to work with\r\n- one badge for worldwide offices access\r\n- amazing benefits\r\n- free luxury lunch\r\n- gym allowance
339,"I can not think of anything bad in this company, I had the time of my life working there.","Its the best company in the world, you get a lot of benefits and everything is constantly changing."
340,"There is always more to be done, one must know for themselves where to draw the line on work-life balance","Fast paced environment, super smart colleagues that are very motivated and looking to learn and innovative as they go"
341,Management is a bit messy,"Great salary, great work environment, great offices and perkds"
342,More consistent across-team management style,"Good talent, products and new company culture!"
343,Revenue slow down significantly recently,"Uber has a lot of world class technologies, and our team members are also nice to work with, so Uber is a great place to work, especially it can help us grow."
344,Cant find any cons at the moment.,"Uber is a challenging, dynamic and a complete place to work. Nowadays we want to find a company which values its own employees and works hard daily to make them happy, Uber is that place we´re looking for. Of course we are required to  supply all the expectations, but when you work happy, thats not an issue."
345,As with all startups (C.O.E. is still very much a startup environment) change is constant and is not always well communicated.\r\nNot a lot of senior leadership if you end up working a night shift.,The benefits are amazing.\r\nThe culture is strong.\r\nIntelligent and able people who care about the work they do.\r\nLeadership is fantastic.\r\nOpportunities are endless.\r\nLeadership cares about doing the right thing both by our partners and riders as well as the employees.\r\nFOOD. You will barely have to go grocery shopping.
346,Ended program. Wish I could have stayed on longer,"Benefits, people, salary, team work!"
347,lack of communication\r\nbad management\r\nbro culture still exists,good pay and good benefits
348,"Process wise, the company is still writing a lot as it grows and develops. I wouldn't see it as a con, more of an opportunity to develop best practices.",This is a young company with enormous potential. Dialogue and transparency are immersed in our corporate culture. Good place to develop abilities and continue learning.
349,"Leads tendency to misinterpret or downplay certain situations due to bias \r\nLeads in this particular LOB have a conflict of interest as they have become friends with agents\r\nLack of respect among agent/leads/team\r\nDiscombobulated Leads that are there more so to entertain agents and have time pass by \r\nAgents in the Rider Trip Escalations LOB are abusive towards the policies set in place by Uber - sleep while working overtime, coming in later than the grace period  due to lead adjusting the time to avoid quarrel with agent, verbal bullying on the floor and having the support of other agents who they have be-friended\r\nThe Escalations Agents in this LOB are toxic and the leads and agents need to be disband\r\nLeads should not manage the current agents in this LOB as there is a definite disarange environment \r\nAs some agents get c360 agents 'NRN tickets back such as thank you's' the TPH among agents are not properly accounted for as they are not equally disbursed","In the Downtown Area\r\nHourly pay\r\nGood Insurance \r\nLooks good on your resume\r\nNice perks - like reimbursements, credits \r\nOutstanding benefits"
350,Regular work and life balance,Great place to work with excellent benefits and careers opportunities
351,"No cons overall cons.  The work is hard and challenging, but that is not necessarily a bad thing.","Uber is a work place that is putting in the effort to have strong cultural norms and take care of their employees.  Breakfast and lunch are provided daily, great health and wellness benefits, education benefits and opportunity and monthly Uber credits.  Ability to work from home; opportunity to travel."
352,"I really don't have any cons. I guess if I had to put something down, it's I hope for a shift in the future that is not inclusive of a Saturday or Sunday. This is a 24/7/365 job, so it is to be expected.","This place has literally been mind blowing! Amazing place to work. Culture is great. Training is more than thorough, and you are always learning something new. Benefits are hands down the best I have had in many years. Lots of great perks and other benefits. So much that it is hard to remember is all. Trainers and leads are super helpful. If you fail at this job, basically you didn't want the job in the first place. Uber is here for your success on the daily. Can't say enough great things. We have so much to offer here."
353,Terrible Pay. You can’t grow within the company. Good for fresh out of high school students,"Dog friendly office, happy hour every other week, fun office, free catering everyday. Good benefits, they pay for your gym and reimburse for parking"
354,- computer based\r\n- front desk,- culture\r\n- experience \r\n- opportunities
355,Toxic culture. Promotions not based on qualifications or performance.,The salaries are decent. It's great if you're a white guy.
356,The social media team is pretty clueless and the cluelessness leads to unnecessary drama.,"Good benefits, nice people, paychecks"
357,"Company is still growing fast, so you are always keeping up with the pace.","Working at Uber you feel that you have been select to a revolution, to change the way people move in the world. Just some of good aspects are:\r\n- Talented people\r\n- Engineering challenges at scale that actually impacts people lives\r\n- Startup energy even after tremendous growth so far\r\n- Compensation &amp; Benefits are one of the best in the region"
358,-/+ \,+Good compensation\r\n+Great health benefits\r\n+/- \
359,High stress environment doesn't make for the best productivity,"Fast paced culture, you learn a lot."
360,"-Elitist and somewhat nepotistic environment in the Paris office, with several hires coming from the same schools/promotions (ex SciencesPo, HEC) or being friends with current employees. Very evident in the marketplace team, for example. \n-In some teams, management is too directive and not listening to suggestions, prompting people to leave. \n-Limited progression chances in some Paris teams, leading to high turnover.\n-At times, lack of structure and competencies, miscommunications amongst teams (« it’s not my perimeter » attitude, no “homework” before asking things). \n-Very silent work environment. It doesn’t have the buzz of a start-up. \n-Difference of treatment persists amongst FTEs and contractors (especially on the social perspective).","-It is a great company with a great global corporate culture.\n-Visionary firm oriented towards to future. \n-Very innovative and high-quality internal tools, which make working at Uber enjoyable. \n-Top-notch IT equipment. \n-All Hands allow different team to get together and get a feeling on the progression of the company. \n-People are very nice. \n-Possibility to liaise with people from different offices. \n-The facilities of the Paris office are great and the quality of the (free) food is good. \n-Career progression still possibile (but more toward the regional HQ )."
361,Slightly under-developed processes and lack of timely accountability.,"Great mission, Very smart people, exciting work,  abundance of resources,"
362,It could be better if we have more leaves to use.,"Starting from the most important up until the very basic, Uber's  benefits are really the best."
363,"* Career growth is hard as it normally is in large businesses, but Uber is improving their model to make it clearer and easier to move straight up or in diagonal","* They have food for breakfast and lunch in all offices\r\n* You get nice perks like Uber Credits\r\n* Being part of a company that is changing the world, feels amazing and makes you feel like your job is actually having an impact"
364,workload might be more than other older tech companies,"Solid people, lean company, very little internal politics and beurocracy, Open source friendly, good compensation, great management, everyone optimistic about the future of the company"
365,None so far. Happy to be here,Excellent benefits including Uber cash for personal use (ride share of Uber eats)
366,"Underpaid, dysfunctional organization, lacking proper leadership",Interesting Problems to work on at ATG that are relevant to the industry and long-term company roadmap.
367,"- Engineering teams are scattered around the world, mainly in SF, and in most of your projects, you will require them. That means you will need to be in late meetings constantly with them.\r\n- Teams are quite disconnected and that created a lot of duplication  - deprecation of services.","- If you want a place where the work you do impact a lot of people around the world, this is the place.\r\n- Good compensation and benefits\r\n- Freedom to work from home whenever you need"
368,Could be a bit unclear who you need to talk to.,"Informal, international environment. Everyone is very approachable and motivated to stay innovated."
369,It's normal everywork has challenged.,It's the best experience I had there Due to the new skills.
370,Company relied too much on this new position and took advantage of the fact that it was a \,Job was created for me and a small group of individuals who had a penchant for learning systems quickly and fixing things.
371,"Slow growth, No career development.",Great environment and benefits. Very modern.
372,"young company, some process are not aligned,","the most great place to work ever, people oriented and focused in our development"
373,"Long hours counter to family activities, traffic, and drunks....","Flexible schedule, constant travel to new places, instant payment"
374,Pay is on average in Tech in Bay area,"Infra is well built. Lots of support from Eng team, which is easy to deal with. \r\nGet exposure to many business problems from different internal clients."
375,- There are still some cultural problems depending on where you're located\r\n- It doesn't foster work/life balance. It's up to you to set your own boundaries.,- Fast growing environment\r\n- High performing team\r\n- Exciting challenges\r\n- Dynamic and flexible environment\r\n- Learns and improves from its mistakes
376,Nothing to complain.  Problems are so interesting here.  You may work too hard unconsciously.,Best place learn and grow.  A lot of interesting problems and you get rewarded with your hard work.  High emphasis on employee growth.
377,Everything is great so far!,Super Smart People\r\nGreat Challenges\r\nReal World Impact
378,- Crowed office space till new HQ in 2020 \r\n- Room for improvement on cross collaboration,"- Exciting future in the making\r\n- Smart and mindful leadership \r\n- Not your basic big tech company \r\n- Move fast, make impact"
379,Long work hours and very very low compensation. The place is chaotic and  they do no appreciate the talent that they hire.,Lunch and Dinner was always provided.\r\nTravelled to different African countries
380,"Poor opportunities career, \r\nvery low quality facilities,  \r\nUnpleasant work environment",Flexible time for vacations permissions
381,- culture has changed from growth at all costs to very corporate\r\n- not as innovative and fast (things move slow now)\r\n- most of the OGs are gone \r\n- senior leadership in Ops and Product was not that strong\r\n- people team needs to improve\r\n- needs better comp,- global projects\r\n- complex problems to solve\r\n- relevance with society\r\n- talented people\r\n- better work/life balance
382,There are more positives than negatives,Great opportunity to grow within the field of Operations
383,one on one training before able to interact with Uber partners.,"Everything is handled and delivered perfectly, except hoped for a more solid training."
384,Cultural norms lack of transparency,Benefits location perks perks perks
385,"Not a con if you enjoy what you do ,,, but there is ALOT of work to do and the pace is intense.  It's an exciting busy feeling but also easy to get sucked into a 12 hour work day and not realize it.","Uber understands Comp beyond base pay ... Flexible time off, free medical coverage, Uber Credits, Wellness Credits and even Fertility benefits!  Of course the stock options and bonus potential are great.  It is awesome to see a company thinking about the full picture of an employee's needs.  Look around at other traditional brands in banking, retail, logistics and you are not going to find these awesome \"
386,"Needs to take a more strong approach towards compensation or risk continuous outflow of talent to competition,","Amazing team, excellent onboarding process and lots of shared learning resources that make your learning curve a breeze. Amazing change in culture from when Uber first started."
387,I don't find any to be honest :),"Great atmosphere, amazing team, great benefits, at least one office event every month. They actually care about people who work there, there's a lot of opportunities to develop new skills. It's my first corporate job, as for quite some time I've been avoiding behind the desk job, but now I must say I'm quite content. Salary is also satisfying."
388,- Management has favorites,- Monthly Uber Credits\r\n- Catered Lunch\r\n- Unlimited Snacks
389,"It has become a large company very quickly, so some of the staff that have been here since Uber's early startup days are having trouble adapting to the inevitable shifts (process, compliance, etc.). Some of the leadership that have been here a long time seem slightly out of their element.","Great team with interesting problems to solve at large scale. Lot's of autonomy to work on the projects where you can maximize impact. Leadership team is open, honest, and inspiring."
390,"High stress, open concept work environment, difficult to navigate career pathing","Working cross-functionally on large brands, direct impact, strategy-driven role"
391,poor to no communication from management,free insurance\r\nuber credits that you can use on eats
392,"Incredibly competitive, employees overwork themselves at times.","Unlimited PTO, ability to work from home whenever needed, food + gym provided, great culture, coworkers who challenge and motivate you."
393,- A lot to tackle each day,"- Open community working space\r\n- Desk Autonomy \r\n- Solution Based, New ideas ALWAYS welcomed \r\n- Breakfast, Lunch *Dinner provided"
394,Things are changing as far as culture. Its not terrible but certain things are irritating.,Lots of small perks and good health insurance. They give you free uber rides at the beginning of the month.
395,Yet to find anything that bothers me,"Free food, casual dress code, good benefits, good work environment"
396,"The culture is very unpleasant. A previous review used the term cutthroat and it is. Quite male dominated and many of the legacy old guard refuse to change. HR seem to be a necessary evil for the business. In the 10 months there, I experienced myself becoming extremely unhappy. The Recruitment process gave me a very different idea of what I was joining. That should have been the first warning sign.... the inexperience and low level professioanlism of the Uber EMEA Recruiters.",Competitive Salary and Secondary Benefits
397,Nothing I have experienced yet,They care about my work life balance and the benefits astonish me everyday
398,"Zero work /life balance.   Internal politics are rife with domain protection and territory management in order to achieve career growth.  Total focus on individual achievement and some toxic team dynamics depending on which org you work in.  Fringe benefits (meals, Uber credits, (un)limited vacation, facilities, training opportunities) are 2nd class.  Institutional sexism and ageism, with less and less transparency as issues are bubbled up to the surface.  This has created a cover-up culture that spends heavily on spin and PR.  Huge technical debt across several organizations.","they revamped their salary and equity structure once employees started leaving amidst all of the self-inflicted turmoil in 2017.  so some employees received hefty adjustments upward to align with the bottom of the market equivalent bands.\r\nearly employees were able to keep what became a generous (generous because of non-retro changes that were made) Uber credit benefit to be used for rides &amp; meals.\r\nyou get to work with some very smart, capable, driven-by-ambition young people who foresee themselves achieving great things elsewhere."
399,You better be a people person or this job is not for you. Not really a con just a valid statement.,"Great hours, amazing administrative team, dependable coworkers"
400,"some gaps in terms of duplication of  work,  due to the nature of the high paced work environment","amazing peers, wide breadth of challenges, fast paced, ability to work independently,  upper management drive to assign projects based on interest and capability balanced with business needs"
401,"They look at their employees like they are disposable and like they don’t matter\n\nUber eats has horrific customer service, makes their restaurants loose money, have no concept of competitive pricing \n\nPolitical nightmare \n\nPay should be better, especially if they think they are Facebook.  Facebook pays their employees a competitive salary.  You think an hourly wage of $19.50 in downtown San Francisco is acceptable?  You have got to be kidding yourselves","Looks good on a resume, free lunch"
402,I don't recommend work here,Good for know people around the world
403,"HR are openly recommending to no longer hire permanent so can get rid of people easier\nUsing redundancies as trick to get rid of people\nAll Leadership positions taken by early joiners, company has very high level of politics\nWorkday 10am to 11pm norm\nDisregard for NL employment laws\nAgeist environment, if you are over 30 avoid or lie about your age\nHostile to outside hires, prefer to recruit internally",Good pay \nDo expat ruling
404,"Lack of operational consistency and processes, projects may have low impact due to constant change","Talented and engaged colleagues, chance to contribute to something great, autonomy, great development opportunities, inclusive and friendly culture"
405,I can't say there is any.,Very good company lot to learn.
406,Complex organizational structure. The first few months are spent understanding the inner workings of the compamy and the place/purpose of each team.,"Entrepreneurial job. I get to pursue those opportunities I think are interesting and could add value to the company with out being micro-managed.\r\nI work alongside the smartest, most committed people in the market. The employee base loves the company and is enamored by Uber's vision and place in the world.\r\nDynamic, intense and ever-changing environment. The company grows at such a fast pace that you need to be able to adapt quickly, think on your feet and deliver on a myriad of fronts.\r\nGlobal culture. I get to interact from people of countless origins, backgrounds, and expertise.\r\nIt is very exciting to work in a company that is transitioning from a \"
407,"Given the growth Uber is still experiencing (both business and headcount), workers have to be agile and plan on adapting to new changes.","Intelligent, high-performing colleagues, great culture (totally different than it used to be under TK), amazing benefits and competitive total comp package, and the ability to work on one of the most innovative companies that is changing the world operates on a global scale (for the better!)"
408,Not recommended for people who want to work a \,"Great benefits, awesome atmosphere, fast phased, always improving, always evolving  kind of company."
409,Be more upfront and honest on all hands,Great benefits and flexible scheduling
410,Some constraints when trying to apply for a new role in the company.,The culture is extremely welcoming to all. The sense of team is felt through all LOB's. The benefits are amazing also.
411,Process in constant changing and huge quantity of information to absorve André take care every day.,"Benefits, compensation, opportunities to grow, talents and a tech company mind set."
412,Due to it still being a \,"Amazing culture that is always being reassessed to better fit the current employees, great medical, dental, vision benefits."
413,"-still building infrastructure, but this is a great opportunity to build process at any level","-inspirational vision\r\n-extremely capable colleagues\r\n-big company with a start up atmosphere, anyone can contribute!"
414,1. Not Invented Here syndrome.,1. Re-building a great culture to work in\r\n2. Sense of purpose and mission\r\n3. Conscientious company trying to do right things on many fronts\r\n4. Redefining 21st century work culture with equal opportunity and access to it
415,There are cultural differences within the company that may prohibit a long term positive environment.,The company is rapidly growing and expanding.
416,The vacation leaves are scarce,The culture and people here are great
417,Depending on your team there are some teams still figuring out there footing both process and output.\r\n\r\nSome people have roles/titles and are not leveled up to what is required for the role they possess.,"Fairly high bar for vetting candidates in design, product management, Engineering and UXR.\r\n\r\nDriven people and team towards measurable and focused goals.\r\n\r\nHigh bar for execution and quality being shipped."
418,- Low pay\r\n- Fast paced not enough structure \r\n- inefficiencies in work management,- Free Food \r\n- Great Culture\r\n- Beautiful Office\r\n- Awsome People
419,The school is not organized enough.,"Flexible lecture plans for instructor, easy to adjust lesson plan according to the students."
420,"For the location, the salary could be a bit higher.","I am so far pleasantly surprised with Uber. I think that the company learned from their past mistakes and is trying to do the right thing going forward. They are super structured when it comes to pay and promotions. Management, although pretty young, is trying their best to cultivate employees and support them on their career path. They offer great benefits. The projects that everyone is working on are super interesting. You never get bored at Uber, there is always something new to learn."
421,"If you live in the suburbs, the commute is tough. Other than that nothing is a CON","The company really cares about the employees. They make us excited to be at work. GREAT benefits, room to grow, a lot of support during on-boarding process."
422,"Competition; odd contracts; uncertainty. There is an uneven pace to it all, but it bodes well with its centric office location. In essence, your job will be varied, and you will need to wear many technical hats; if you cannot learn on the job do not apply to this company. If you are used to having everything served on a silver platter, you will be sorely ridiculed, in many more (meta) ways than one.",Team work; Access to great experiences and people; humbling  to truly stand on the shoulder of Masters.
423,"Aside from Uber Learning, there seems to be little effort to train employees on other fields",Amazing environment to work\r\nInnovation is exciting
424,Takes time to hire people,Management listens and there is a work-life balance.
425,The Lunch menu is limited,"A growing company, lots of opportunity to develop, many different parts of the business where you can find your passion."
426,"Sometimes Uber may have a lil bit of bureaucracy, but nothing that would make you feel disappointed.","The environment is exceptional and people are extremely friendly. I always felt that I belong to the company, from the very first second."
427,Lunch is just so so.,"1. Cool projects, cool team\r\n2. Good perks\r\n3. Flexible schedules"
428,Job tends to get monotonous if you stick only to the basic workload so the in-office trainings give you access to a more diverse workload. For some people the weekend shifts or the evening shift are a con as well but it comes with the job description.,"No-stress work environment, decent salary to live in Poland, ability to improve your skills through various e-larnings and in-office trainings, food, coffe and soft drinks available at all times, hot meal available for free as well, private healhcare covered, young and welcoming colleagues and management throughout the company."
429,They  Have  no  Customer  Phone,None  if  you can not  phone  customer  service
430,- Better defined career progression would be great,"- working with super smart people \n- every day is different, new challenges and opportunities \n- excellent benefits - 18 week paternity leave!"
431,"Lack of HR and not having a real management around, unexperienced leads are making the pressure harder. Though it depends on which county you’re working.","Working hours are quite okay comparing to the other companies. Young employees, good environment, satisfying benefits. Great office snacks and goodies."
432,Lot of hustle required to fit,"Learned a lot, smart people everywhere"
433,Not very organized\r\nIt feels like a job\r\nIt seems to be turning into a standard corporate environment,I feel like I am taken care of \r\nThere are a lot of perks \r\nI am well compensated\r\nI have quite a bit of autonomy\r\nI have flexible work hours\r\nI can work at home\r\nInteresting/challenging problems to work at
434,There is a lot of work and it can become overwhelming.,"It's amazing and very surprising how brilliant, kind and willing to help everyone is, including people from other teams and other countries. I truly feel like a part of this team and of this company. Also, the flexibility and autonomy with which you can work is impressive."
435,Training could be more prepared.,Great Work Experience. Working as One.
436,"It could have more benefits, this will retain more talents at the company",You have the liberty to take decisions and to do a difference at the company
437,"It is becoming a corporation, and some things get time.",Great work environment overall. Lots of stuff to learn.
438,"Management is occasionally disorganised. On the odd day,  the Team Leads will forget to communicate things to the Greenlight Leads, so just make sure to follow up to ensure that it's actioned on time.","Fantastic work culture, decent variety of tasks, and very people-focused management team. Management is always willing to listen to suggested improvements and feedback about current systems.\r\n\r\nA fast-paced and challenging environment. I always feel like I'm making a difference."
439,"I don't even know where to begin, everything I learned through my experience at Uber was basically a confirmation of things NOT to do when managing a team, building a new org, developing new processes, and implementing policy changes to external customers. Perhaps it's given me valuable insight into what doesn't work.\r\n\r\nThe company grew quickly and has reached a size, in my opinion, that isn't considered a \","The people I met at Uber were friendly and diverse culturally. I also like that we had free snacks and meals. Location is decent, located near a BART station though that will change soon with the new office in Mission Bay."
440,to many managers with no team,"good schedulle, good team, independence"
441,I honestly haven't come across any,Great Benefits love the scheduling
442,The culture was kind of blah. Felt like constant competition and butting heads between Uber 1.0 and Uber 2.0,"They paid well, had good perks."
443,* Lack of organization in sales procedures,* Many tools to achieve the sales goals. \r\n* A worldwide company.\r\n* Extensive experience in the business.
444,"Culture change away from earlier dysfunction is real but incomplete\r\nProcesses can be unclear, unstated, or non-existent which can lead to poorer coordination or visibility into what's happening and who is/should be involved","Iconic and ubiquitous company having huge impact on communities globally in ridesharing and beyond\r\nIf you're willing to dive in, there are many projects/opportunities to make a meaningful contribution\r\nInternal entrepreneurial/ownership culture means no one is resting on his/her laurels or waiting for others to take action\r\nDara and the executive leadership team are top-notch"
445,Irregularities in rules among departments\r\nFunction segmentation\r\nNot much inter-department activities,Great culture\r\nClear job guidelines\r\nStrong company strategy and goals\r\nGreat people\r\nGreat benefits
446,First challenge is that to analyze the huge amount of data collected about drivers & customers. Second is that to find the best solution to improve the business and satisfy both the drivers & the riders.,Actually I worked with UBER as a driver for more than two months. I have obtained good knowledge about the both costumers and drivers problems and complains. I would like to share this expert with UBER and help to improve this business and adding good value.
447,"- Responsibilities are split between experts to improve efficiency, although not quite sure if this is actually improving interactions with partners",- Management truly care about you. The support I've received from management at Uber is like no other I've experienced before\r\n- The team is amazing. Everyone understands the goal and supports each other to achieve it. I've met many great colleagues here who I now consider my good friends\r\n- You can be your true self at Uber\r\n- Agile environment. Very fast paced and ever-changing. This makes working here so exciting\r\n- Inclusive environment/management is transparent \r\n- Flexibility\r\n- Encouraged feedback culture\r\n- Free daily lunch
448,"With increasing scale of the company, the processes and the bureaucracy are appearing now more often.","The fast pace of the company allows tackling different yet unsolved problems every day. It is an industry of moving real things, so one can really see the difference which Uber and the product is making."
449,"In some ways, it's apparent how quickly the company has grown in that some of our systems are just catching up to our needs at scale. The great thing is that there are really good internal teams here that are building tools and systems to fit our current and future needs, releasing great tools every day.","Being at Uber has been an amazing experience. There is a palpable energy at this company that is a clear reflection of the dedication of our employees and belief in our future. Every day I feel like I'm building new tools in my skillset. I have autonomy, opportunity, and support. It's really an amazing time to be here right now."
450,"Management  has their favorites so much so that favortism allows for harassment in the workplace \r\n\r\nHR is gutting compensation right now. \r\n\r\nCulture is infested with arrogant, hypocritical bootlickers",Great Colleagues\r\nDecent benefits other than the below market salary\r\nUnlimited vacation
451,Stressful environment at times.,Great career opportunities. Very challenging and filled with responsability.
452,I do not have any Cons about Uber,"Great benefits, good pay, excellent leadership, clear direction, great office environment with parking provided at no cost."
453,"- Lack of transparency sometimes. \r\n- There's a line drawn between full timers and contract staffs. Etc. for some of our meetings or offsite events, it will only be extended to full timers. I hope this will change and some of these can be extended to contract staffs as some of these contract staffs have also been in the company for awhile.",- Lots of intelligent people working here. \r\n- Great perks for full timers - including free breakfast and lunch buffet spread everyday\r\n- Love how everyone hustles to get things done and no one really draws lines here. Everyone goes beyond and above his/her jobscope to get things done.
454,"Underpaid, lack of clear career progression","Great work / life balance (come in at 9:30am, leave at 5:45pm), awesome monthly Uber credits to be used for Rides and / or Eats, chill work environment (casual dress), hear from the CEO each week, surrounded by brilliant co-works (ex-consultants and bankers)"
455,it takes too much out of you. Too much of a fast paced environment and too short deadlines.,"If you have what it takes , you'll be golden"
456,Unfortunate events led to the layoff of hundreds of hard working people passionate about developing autonomous vehicle technology.,"Excellent pay, benefits, and perks. Lunches were catered and there was plenty of sick time and PTO."
457,Growing quickly so individual teams are becoming much larger.,"While having a massive reach, Uber operates as a small, agile company in so many ways. Truly act on the values they state. Provide a work-life balance that is more than comfortable and there are always ways to take on new exciting initiatives."
458,"None so far, continue to bring in a variety of professionals.",This is the best job I have had in my career. I have the independence and freedom to make a sound professional decision. My leadership trusts and values my opinion. The culture is rich and diverse in many ways. I work with a group of intelligent professional and I love my job.
459,- not enough pay\r\n- favoritism everywhere\r\n- not possible to grow without being someones \,"- benefits are ok, but before were better. \r\n- nice offices"
460,"At times, it can be an environment with high pressure and strict deadlines.\r\nbeing it a global company you will at times have to do across the world calls at unpleasant times",The best thing about working at Uber is the amount of ownership you're given and the opportunity to shape your own career. I've been in for 3 months and never had a \
461,- Relatively long process of onboard due to size of the company and amount of systems.,"- Surprisingly smooth hiring process, very responsive HRs and ability to talk about tasks, talk with future colleges, etc.\r\n- Very high quality bar for code and architecture\r\n- Down-up management style\r\n- Very developer-oriented: plenty of things for ease of development instead of formal rules."
462,"- Organization: With fast growth, it's easy for things to become disorganized - outdated docs, multiple redundant resources, etc.","- Lots of interesting projects to work on: The company is constantly expanding into new areas, which means no shortage of new projects\r\n- Opportunities for growth: Joined as a front-end engineer, a few months in already getting opportunities to learn and work with full-stack\r\n- Comp is very competitive, with potential IPO next year\r\n- Team specific: My manager and team are very supportive and advocate strongly for a good work / life balance"
463,Can't think of any cons as of now.,"Uber is innovative, growing and ahead of their time."
464,"Terrible salary and alot of unprofessional agressive people. \r\n\r\nIt felt like working at a teleperformance at it's worse. Gossip everywhere. It was a very bad experience. \r\n\r\nLack of information and processes. \r\n\r\nCareer development based on how good you are to make managers feel they are your friends, is not about being professional and delivering a good result.\r\n\r\nDiscrimination and racism.\r\n\r\nIf you see something not working they preffer that you shut up and continue doing your rork, even if you can't deliver something good due to the lack of organization.",Good for your CV and some people are nice.
465,"I can't think of any so far, I have only been with Uber for a year","The benefits are excellent, pay is great - compared to other employers"
466,Negative public image but is okay,"Pay is really good, treats you like family"
467,- Doesn’t always feel like a meritocracy\r\n- Some teams have limited scope and opportunities\r\n- Strong sense of entitlement from some employees,- Amazing opportunities to work on difficult problems\r\n- World class co workers to learn from.\r\n- Great for personal and professional growth \r\n- Fantastic benefits and perks
468,"As a hypergrowth company, Uber needs to find a more sustainable model of growth.  \r\nUnsurprisingly, it feels like a silicon valley startup, with a lot of ambiguity and extremely fast pace of change","Tons of great stuff. Amazing, talented people.\r\nEmployees have space and support to form the future shape of the company."
469,In the beginning you can not miss any days of training other wise your attendance recorder takes a big hit. Not a lot of free Uber swag.,"No micromanagement, everyone is welcoming, superiors want you to succeed, great benefits, and room for growth."
470,Sometimes you feel like there are not enough hours in the day to get everything done with such fast paced &amp; quickly changing priorities.,Inspiring leadership / Great access to resources / Amazing benefits
471,"Getting bigger, so becoming harder to navigate","You'll work on super interesting stuff, with very smart people"
472,Significant emotional stress.\r\nLow pay for the work. \r\nPTO is not designed to support hourly employees. \r\nUpper management is totally out of touch with support operations.,Great health benefits.\r\nDirect managers truly care.
473,"- Toe-stepping and backstabbing are embedded into the culture\r\n- People are not held accountable for failures, and it's very common for others to claim credit for your work\r\n- Limited to no training offered\r\n- Bonus targets change dramatically with little to no notice (whatever your offer letter says is likely to NOT be honored, especially bonus target and equity refresh)",- Lots of autonomy\r\n- Well known brand\r\n- Interesting problems to solve\r\n- Driven coworkers
474,"Heavily monitored work performance can create an uncomfortably high pressured environment, pay is slightly low compared to similar positions at other companies, very difficult customer base","Great benefits, supportive team structure, room for growth if you have the skill set and drive, management is supportive of individual initiatives to improve operation"
475,No cons. Everything is on the top level,Great team of professionals. Great IT infrastructure with awesome tools to develop yourself!
476,"Too many employees, sometimes very disorganized","Nice hospitality, good work environment"
477,Crazy data restrictions that could get one fired unknowingly,Diverse working culture and massive career growth opportunities
478,"No growth opportunities whatsoever, no appreciation for talent","Good benefits, fun environment, good facility."
479,"long hours - no work/life balance, HR didn't address sexual harassment issues until it was publicized","cool people to work with, driven, motivated, nice perks"
480,Lack of local growth opportunities,"Competitive compensation, fast paced and dynamic environment, smart colleagues"
481,Bonus &amp; Salary are below the average,"Benefits, independence to try new things"
